description,category
"garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
low water pressure in all houses.,Water Supply Department
transformer  burst  causing  power  outage.  please  resolve  urgently.,Electric Department
"Roadside barrier broken, safety concern. please resolve urgently.",Road Department
Underground sewerage pipe damaged.,Sewerage Department
Water  pipes  leaking  heavily  and  flooding  the  area.,Water Supply Department
Low  water  pressure  in  all  houses.  please  resolve  urgently.,Water Supply Department
sewer pipeline clogged completely.,Sewerage Department
Tap connection broken causing leakage.,Water Supply Department
Loose electric wires hanging near the road.,Electric Department
pillar has developed major cracks after rain.,Building Department
Road divider damaged in an accident.,Road Department
road divider damaged in an accident.,Road Department
Electricity supply unstable with voltage drops.,Electric Department
Road surface cracked and uneven.,Road Department
"Electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
Sewer  pipeline  clogged  completely.  please  resolve  urgently.,Sewerage Department
Road divider damaged in an accident.,Road Department
Drain clogged and water stagnating.,Sanitation Department
Manhole cover broken and unsafe.,Sewerage Department
Pipeline burst causing water wastage.,Water Supply Department
power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
"Street light bulb fused, area dark at night.",Electric Department
Drain clogged and water stagnating.,Sanitation Department
Loose electric wires hanging near the road. please resolve urgently.,Electric Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Potholes filled with water after rain.,Road Department
Uncollected garbage creating foul smell.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
Current pole damaged and sparking.,Electric Department
Water  supply  interrupted  for  two  days.,Water Supply Department
Current pole damaged and sparking.,Electric Department
"street light bulb fused, area dark at night. please resolve urgently.",Electric Department
Faded lane markings causing confusion.,Road Department
Loose electric wires hanging near the road. please resolve urgently.,Electric Department
"Speed bump too high, damaging cars.",Road Department
Tap connection broken causing leakage.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
transformer burst causing power outage.,Electric Department
Uncollected garbage creating foul smell.,Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Loose electric wires hanging near the road.,Electric Department
Manhole cover missing and cars getting stuck.,Road Department
Transformer burst causing power outage.,Electric Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Low water pressure in all houses.,Water Supply Department
Current pole damaged and sparking.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
"roadside barrier broken, safety concern.",Road Department
dirty sewer water entering shops after rain.,Sewerage Department
Cracks appearing on the walls of the building.,Building Department
Structural damage visible on the outer wall. please resolve urgently.,Building Department
Waste blocking the drainage system.,Sanitation Department
dirty sewer water entering shops after rain.,Sewerage Department
Manhole  cover  missing  and  cars  getting  stuck.,Road Department
current pole damaged and sparking.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
loose electric wires hanging near the road. please resolve urgently.,Electric Department
Road surface cracked and uneven.,Road Department
Sewer  pipeline  clogged  completely.  please  resolve  urgently.,Sewerage Department
Dustbins overflowing and attracting flies.,Sanitation Department
water pipes leaking heavily and flooding the area.,Water Supply Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
Building foundation showing signs of sinking.,Building Department
Cracks appearing on the walls of the building.,Building Department
Transformer burst causing power outage.,Electric Department
Structural damage visible on the outer wall.,Building Department
Faded  lane  markings  causing  confusion.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
sewage  backflow  in  washrooms.,Sewerage Department
Road full of potholes causing damage to vehicles.,Road Department
Main pipeline leak creating swamp.,Water Supply Department
low water pressure in all houses.,Water Supply Department
Footpath  broken  and  unsafe  for  walking.,Road Department
"transformer overloaded, making loud noise.",Electric Department
Manhole cover broken and unsafe. please resolve urgently.,Sewerage Department
structural damage visible on the outer wall.,Building Department
Drain clogged and water stagnating.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Footpath broken and unsafe for walking.,Road Department
sewer line blocked causing overflow.,Sewerage Department
Low water pressure in all houses.,Water Supply Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
road divider damaged in an accident.,Road Department
Waste blocking the drainage system.,Sanitation Department
drain overflows every time it rains.,Sanitation Department
no water supply since morning.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Staircase railing loose and unsafe.,Building Department
wall near staircase damaged and unstable.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Electricity supply unstable with voltage drops.,Electric Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Drain overflows every time it rains.,Sanitation Department
No water supply since morning.,Water Supply Department
Sewage water stagnating near road.,Sewerage Department
water flow extremely low despite full pressure.,Water Supply Department
Waste accumulation causing mosquito breeding.,Sanitation Department
no  water  supply  since  morning.,Water Supply Department
Sewage backflow in washrooms.,Sewerage Department
pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
road full of potholes causing damage to vehicles.,Road Department
tap connection broken causing leakage.,Water Supply Department
Waste blocking the drainage system.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Low water pressure in all houses.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
Tap connection broken causing leakage.,Water Supply Department
Sewer pipeline clogged completely.,Sewerage Department
Structural damage visible on the outer wall.,Building Department
Open sewer line giving foul smell.,Sewerage Department
Power outage since early morning due to faulty wires.,Electric Department
Building foundation showing signs of sinking.,Building Department
Uncollected garbage creating foul smell.,Sanitation Department
Transformer burst causing power outage.,Electric Department
Loose electric wires hanging near the road.,Electric Department
transformer burst causing power outage.,Electric Department
road surface cracked and uneven. please resolve urgently.,Road Department
"Roadside barrier broken, safety concern.",Road Department
Drain clogged and water stagnating.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Road surface cracked and uneven.,Road Department
Cracks appearing on the walls of the building.,Building Department
Underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Potholes filled with water after rain. please resolve urgently.,Road Department
Street  lights  have  been  off  for  the  past  week.,Electric Department
building foundation showing signs of sinking.,Building Department
Power outage since early morning due to faulty wires.,Electric Department
underground sewerage pipe damaged.,Sewerage Department
"speed bump too high, damaging cars.",Road Department
Garbage has not been collected for several days.,Sanitation Department
Water pipes leaking heavily and flooding the area. please resolve urgently.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
underground sewerage pipe damaged.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Uncollected garbage creating foul smell.,Sanitation Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
"street light bulb fused, area dark at night.",Electric Department
Sewage backflow in washrooms.,Sewerage Department
electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
Road  surface  cracked  and  uneven.,Road Department
drainage water overflowing in the street.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
"roadside barrier broken, safety concern.",Road Department
water flow extremely low despite full pressure.,Water Supply Department
Dustbins overflowing and attracting flies.,Sanitation Department
"transformer overloaded, making loud noise.",Electric Department
Open sewer line giving foul smell.,Sewerage Department
building  foundation  showing  signs  of  sinking.  please  resolve  urgently.,Building Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
Sewer line blocked causing overflow.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
Open sewer line giving foul smell.,Sewerage Department
Sewage backflow in washrooms.,Sewerage Department
Building foundation showing signs of sinking. please resolve urgently.,Building Department
Low water pressure in all houses.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
Road divider damaged in an accident.,Road Department
Road full of potholes causing damage to vehicles.,Road Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
low water pressure in all houses. please resolve urgently.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Pipeline damaged during road work.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
loose  electric  wires  hanging  near  the  road.,Electric Department
Roof leakage worsening due to heavy rain.,Building Department
No water supply since morning.,Water Supply Department
Road divider damaged in an accident.,Road Department
Road divider damaged in an accident.,Road Department
Drain overflows every time it rains.,Sanitation Department
Potholes filled with water after rain.,Road Department
Waste blocking the drainage system.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Drainage water overflowing in the street.,Sanitation Department
Tap connection broken causing leakage.,Water Supply Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Main pipeline leak creating swamp.,Water Supply Department
Garbage has not been collected for several days.,Sanitation Department
Loose electric wires hanging near the road.,Electric Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
Sewer  pipeline  clogged  completely.,Sewerage Department
Road surface cracked and uneven.,Road Department
low water pressure in all houses.,Water Supply Department
Tap  water  muddy  and  smells  bad.  please  resolve  urgently.,Water Supply Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Faded lane markings causing confusion.,Road Department
Sewer pipeline clogged completely.,Sewerage Department
Water supply interrupted for two days.,Water Supply Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Tap water muddy and smells bad.,Water Supply Department
Tap connection broken causing leakage.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
Underground sewerage pipe damaged.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
sewage leaking into nearby houses.,Sewerage Department
Road divider damaged in an accident.,Road Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Open sewer line giving foul smell.,Sewerage Department
Drain clogged and water stagnating.,Sanitation Department
Current pole damaged and sparking.,Electric Department
garbage has not been collected for several days.,Sanitation Department
Underground  sewerage  pipe  damaged.,Sewerage Department
"Transformer overloaded, making loud noise.",Electric Department
Wall near staircase damaged and unstable.,Building Department
Dustbins overflowing and attracting flies.,Sanitation Department
Structural  damage  visible  on  the  outer  wall.,Building Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Building foundation showing signs of sinking.,Building Department
Low water pressure in all houses.,Water Supply Department
Waste blocking the drainage system.,Sanitation Department
Electric pole leaning dangerously after storm.,Electric Department
Pillar has developed major cracks after rain.,Building Department
Drainage  water  overflowing  in  the  street.,Sanitation Department
drainage water overflowing in the street.,Sanitation Department
garbage has not been collected for several days.,Sanitation Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
open sewer line giving foul smell.,Sewerage Department
"Street  light  bulb  fused,  area  dark  at  night.",Electric Department
Structural  damage  visible  on  the  outer  wall.,Building Department
Potholes filled with water after rain.,Road Department
Road  divider  damaged  in  an  accident.,Road Department
Balcony railing rusted and may break.,Building Department
Drainage water entering houses after rain.,Sanitation Department
sewage  backflow  in  washrooms.,Sewerage Department
Road surface cracked and uneven.,Road Department
"Electric  cables  exposed,  risky  for  pedestrians.",Electric Department
ceiling plaster falling off in the hallway.,Building Department
staircase railing loose and unsafe. please resolve urgently.,Building Department
"Speed bump too high, damaging cars.",Road Department
No water supply since morning.,Water Supply Department
Faded  lane  markings  causing  confusion.,Road Department
Pillar has developed major cracks after rain.,Building Department
Water supply interrupted for two days.,Water Supply Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Sewage water stagnating near road.,Sewerage Department
Manhole  cover  missing  and  cars  getting  stuck.,Road Department
Drainage water overflowing in the street.,Sanitation Department
Staircase railing loose and unsafe.,Building Department
Street lights have been off for the past week.,Electric Department
electric pole leaning dangerously after storm.,Electric Department
current pole damaged and sparking.,Electric Department
Drain overflows every time it rains.,Sanitation Department
"Street light bulb fused, area dark at night.",Electric Department
Manhole cover broken and unsafe.,Sewerage Department
faded lane markings causing confusion.,Road Department
dirty  sewer  water  entering  shops  after  rain.,Sewerage Department
wall near staircase damaged and unstable.,Building Department
Electricity supply unstable with voltage drops.,Electric Department
sewer line blocked causing overflow.,Sewerage Department
"transformer overloaded, making loud noise.",Electric Department
Potholes filled with water after rain.,Road Department
Main pipeline leak creating swamp.,Water Supply Department
Garbage has not been collected for several days.,Sanitation Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
Transformer burst causing power outage.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Road  surface  cracked  and  uneven.,Road Department
Staircase railing loose and unsafe.,Building Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
dustbins overflowing and attracting flies.,Sanitation Department
Open sewer line giving foul smell. please resolve urgently.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
"Speed bump too high, damaging cars.",Road Department
Sewage  leaking  into  nearby  houses.  please  resolve  urgently.,Sewerage Department
Street lights have been off for the past week.,Electric Department
Road surface cracked and uneven.,Road Department
Uncollected garbage creating foul smell.,Sanitation Department
building foundation showing signs of sinking.,Building Department
Building foundation showing signs of sinking.,Building Department
Manhole  overflowing  with  sewage  water.,Sewerage Department
Open sewer line giving foul smell.,Sewerage Department
"Speed bump too high, damaging cars.",Road Department
manhole  overflowing  with  sewage  water.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
"Garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
Sewer pipeline clogged completely. please resolve urgently.,Sewerage Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
"electric cables exposed, risky for pedestrians.",Electric Department
Dirty sewer water entering shops after rain.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Railing on the staircase is broken and dangerous.,Building Department
Road divider damaged in an accident.,Road Department
transformer burst causing power outage.,Electric Department
sewer line blocked causing overflow.,Sewerage Department
No water supply since morning. please resolve urgently.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
Drainage  water  entering  houses  after  rain.,Sanitation Department
Street lights have been off for the past week.,Electric Department
Pipeline damaged during road work.,Water Supply Department
Drainage water entering houses after rain. please resolve urgently.,Sanitation Department
Water flow extremely low despite full pressure.,Water Supply Department
Road divider damaged in an accident.,Road Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Water supply interrupted for two days.,Water Supply Department
underground sewerage pipe damaged.,Sewerage Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
dirty sewer water entering shops after rain.,Sewerage Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
road surface cracked and uneven.,Road Department
Tap connection broken causing leakage.,Water Supply Department
Sewage leaking into nearby houses.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
road surface cracked and uneven.,Road Department
Drainage water entering houses after rain.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Road divider damaged in an accident.,Road Department
Road  full  of  potholes  causing  damage  to  vehicles.,Road Department
tap water muddy and smells bad.,Water Supply Department
uncollected garbage creating foul smell.,Sanitation Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Structural damage visible on the outer wall. please resolve urgently.,Building Department
Railing on the staircase is broken and dangerous.,Building Department
Pipeline damaged during road work.,Water Supply Department
railing on the staircase is broken and dangerous.,Building Department
pillar has developed major cracks after rain.,Building Department
Road divider damaged in an accident.,Road Department
sewage water stagnating near road.,Sewerage Department
uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Dustbins overflowing and attracting flies.,Sanitation Department
Staircase railing loose and unsafe.,Building Department
Dirty sewer water entering shops after rain. please resolve urgently.,Sewerage Department
road divider damaged in an accident.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Faded lane markings causing confusion.,Road Department
Sewage backflow in washrooms.,Sewerage Department
Tap water muddy and smells bad.,Water Supply Department
"Street light bulb fused, area dark at night. please resolve urgently.",Electric Department
Street lights have been off for the past week.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Power outage since early morning due to faulty wires.,Electric Department
Drain clogged and water stagnating.,Sanitation Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Manhole overflowing with sewage water.,Sewerage Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
Pipeline burst causing water wastage.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
"Roadside barrier broken, safety concern.",Road Department
water flow extremely low despite full pressure.,Water Supply Department
Sewage backflow in washrooms.,Sewerage Department
Drainage water entering houses after rain.,Sanitation Department
Power  outage  since  early  morning  due  to  faulty  wires.,Electric Department
"Garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
"Roadside  barrier  broken,  safety  concern.  please  resolve  urgently.",Road Department
loose electric wires hanging near the road.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Road surface cracked and uneven.,Road Department
roof leakage worsening due to heavy rain.,Building Department
Waste blocking the drainage system.,Sanitation Department
Balcony railing rusted and may break.,Building Department
Main pipeline leak creating swamp.,Water Supply Department
drain overflows every time it rains.,Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
roof leakage worsening due to heavy rain.,Building Department
Garbage has not been collected for several days.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
garbage has not been collected for several days. please resolve urgently.,Sanitation Department
"Electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
Sewage backflow in washrooms. please resolve urgently.,Sewerage Department
cracks appearing on the walls of the building.,Building Department
road full of potholes causing damage to vehicles.,Road Department
dirty sewer water entering shops after rain.,Sewerage Department
electric pole leaning dangerously after storm.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
footpath broken and unsafe for walking.,Road Department
Road surface cracked and uneven.,Road Department
Staircase railing loose and unsafe.,Building Department
Dustbins overflowing and attracting flies. please resolve urgently.,Sanitation Department
Pillar has developed major cracks after rain.,Building Department
Faded lane markings causing confusion.,Road Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
manhole overflowing with sewage water.,Sewerage Department
Manhole overflowing with sewage water.,Sewerage Department
Drainage water overflowing in the street.,Sanitation Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
potholes filled with water after rain.,Road Department
"Roadside barrier broken, safety concern.",Road Department
Street lights have been off for the past week.,Electric Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
sewer line blocked causing overflow.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Road  divider  damaged  in  an  accident.,Road Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Transformer burst causing power outage.,Electric Department
waste blocking the drainage system.,Sanitation Department
Staircase railing loose and unsafe.,Building Department
water flow extremely low despite full pressure.,Water Supply Department
Tap connection broken causing leakage.,Water Supply Department
Road divider damaged in an accident.,Road Department
Potholes filled with water after rain.,Road Department
"Speed bump too high, damaging cars. please resolve urgently.",Road Department
Faded lane markings causing confusion.,Road Department
Pipeline damaged during road work.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
drainage water overflowing in the street.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
current  pole  damaged  and  sparking.,Electric Department
Street lights have been off for the past week.,Electric Department
Dustbins overflowing and attracting flies.,Sanitation Department
Drainage water entering houses after rain.,Sanitation Department
Building  foundation  showing  signs  of  sinking.,Building Department
sewer pipeline clogged completely.,Sewerage Department
"Transformer overloaded, making loud noise.",Electric Department
Water  flow  extremely  low  despite  full  pressure.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
Road  surface  cracked  and  uneven.,Road Department
"Speed bump too high, damaging cars.",Road Department
Road divider damaged in an accident.,Road Department
waste  blocking  the  drainage  system.  please  resolve  urgently.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Faded lane markings causing confusion.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
"roadside barrier broken, safety concern.",Road Department
Sewage leaking into nearby houses.,Sewerage Department
Road divider damaged in an accident.,Road Department
Manhole  cover  missing  and  cars  getting  stuck.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
"Electric  cables  exposed,  risky  for  pedestrians.  please  resolve  urgently.",Electric Department
Manhole overflowing with sewage water.,Sewerage Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Potholes filled with water after rain.,Road Department
Sewage water stagnating near road.,Sewerage Department
Road full of potholes causing damage to vehicles.,Road Department
Wall near staircase damaged and unstable.,Building Department
Open sewer line giving foul smell.,Sewerage Department
"Street  light  bulb  fused,  area  dark  at  night.",Electric Department
Transformer burst causing power outage.,Electric Department
Electricity  supply  unstable  with  voltage  drops.  please  resolve  urgently.,Electric Department
Power outage since early morning due to faulty wires.,Electric Department
"Street light bulb fused, area dark at night.",Electric Department
Pipeline damaged during road work.,Water Supply Department
Electricity supply unstable with voltage drops.,Electric Department
"Transformer overloaded, making loud noise.",Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Tap water muddy and smells bad.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Cracks appearing on the walls of the building.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
structural damage visible on the outer wall.,Building Department
Drainage  water  overflowing  in  the  street.,Sanitation Department
Road full of potholes causing damage to vehicles.,Road Department
railing on the staircase is broken and dangerous.,Building Department
Potholes filled with water after rain.,Road Department
Wall near staircase damaged and unstable.,Building Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
Drainage water entering houses after rain.,Sanitation Department
"Street light bulb fused, area dark at night.",Electric Department
Underground sewerage pipe damaged.,Sewerage Department
water flow extremely low despite full pressure.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
"Roadside barrier broken, safety concern.",Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Drainage  water  overflowing  in  the  street.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
"garbage dumped on roadside, health hazard.",Sanitation Department
staircase railing loose and unsafe.,Building Department
Electricity supply unstable with voltage drops. please resolve urgently.,Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Road divider damaged in an accident.,Road Department
Pipeline damaged during road work.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
"Street light bulb fused, area dark at night.",Electric Department
Faded lane markings causing confusion.,Road Department
Street lights have been off for the past week.,Electric Department
Dustbins overflowing and attracting flies.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
street lights have been off for the past week. please resolve urgently.,Electric Department
Low water pressure in all houses. please resolve urgently.,Water Supply Department
Drain overflows every time it rains.,Sanitation Department
"Street  light  bulb  fused,  area  dark  at  night.  please  resolve  urgently.",Electric Department
Drain clogged and water stagnating.,Sanitation Department
Electric pole leaning dangerously after storm.,Electric Department
Uncollected garbage creating foul smell.,Sanitation Department
Open sewer line giving foul smell.,Sewerage Department
manhole cover missing and cars getting stuck.,Road Department
Low water pressure in all houses.,Water Supply Department
Garbage  has  not  been  collected  for  several  days.,Sanitation Department
power outage since early morning due to faulty wires.,Electric Department
Pillar has developed major cracks after rain.,Building Department
Street lights have been off for the past week.,Electric Department
Dustbins overflowing and attracting flies.,Sanitation Department
tap connection broken causing leakage.,Water Supply Department
No water supply since morning.,Water Supply Department
Staircase railing loose and unsafe.,Building Department
Sewage backflow in washrooms.,Sewerage Department
Sewage leaking into nearby houses.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
Sewage water stagnating near road.,Sewerage Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
manhole cover missing and cars getting stuck.,Road Department
Pipeline burst causing water wastage.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Drain overflows every time it rains.,Sanitation Department
Sewage water stagnating near road. please resolve urgently.,Sewerage Department
Uncollected garbage creating foul smell.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Electricity supply unstable with voltage drops.,Electric Department
Balcony  railing  rusted  and  may  break.,Building Department
Footpath broken and unsafe for walking.,Road Department
Pillar has developed major cracks after rain.,Building Department
waste accumulation causing mosquito breeding.,Sanitation Department
manhole overflowing with sewage water.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Tap connection broken causing leakage.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
sewer pipeline clogged completely.,Sewerage Department
Water flow extremely low despite full pressure.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
Electric pole leaning dangerously after storm.,Electric Department
Electricity supply unstable with voltage drops.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Roof leakage worsening due to heavy rain.,Building Department
Potholes filled with water after rain.,Road Department
Electricity supply unstable with voltage drops. please resolve urgently.,Electric Department
low water pressure in all houses.,Water Supply Department
Drain overflows every time it rains.,Sanitation Department
Sewage water stagnating near road.,Sewerage Department
Building foundation showing signs of sinking.,Building Department
Dirty sewer water entering shops after rain.,Sewerage Department
low water pressure in all houses.,Water Supply Department
Drainage water overflowing in the street.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
drain overflows every time it rains.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Water supply interrupted for two days.,Water Supply Department
Dustbins overflowing and attracting flies.,Sanitation Department
Underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Low water pressure in all houses.,Water Supply Department
Faded lane markings causing confusion.,Road Department
Uncollected garbage creating foul smell.,Sanitation Department
Manhole overflowing with sewage water.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Waste blocking the drainage system.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Power outage since early morning due to faulty wires.,Electric Department
Wall near staircase damaged and unstable.,Building Department
Loose electric wires hanging near the road.,Electric Department
potholes filled with water after rain.,Road Department
"electric cables exposed, risky for pedestrians.",Electric Department
Loose electric wires hanging near the road.,Electric Department
No water supply since morning.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
potholes filled with water after rain.,Road Department
Main pipeline leak creating swamp.,Water Supply Department
Street lights have been off for the past week.,Electric Department
Pillar has developed major cracks after rain.,Building Department
Pipeline damaged during road work.,Water Supply Department
water supply interrupted for two days.,Water Supply Department
Low water pressure in all houses.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
Street lights have been off for the past week.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
faded lane markings causing confusion. please resolve urgently.,Road Department
Building foundation showing signs of sinking. please resolve urgently.,Building Department
Ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
