description,category
Cracks have appeared on the wall of the community building.,Building Department
Drainage line blocked with plastic and debris.,Sanitation Department
The roof of the building is leaking during rainfall.,Building Department
damaged footpath blocking safe walking area.,Road Department
"plaster peeling from walls, building looks unsafe.",Building Department
The garbage truck hasn’t come for three days.,Sanitation Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
No water in tank even after scheduled supply time.,Water Supply Department
"building wall broken after storm, debris blocking entrance.",Building Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Potholes filled with water causing vehicle skidding.,Road Department
"underground  sewage  clogged,  foul  smell  spreading.",Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Transformer burst causing short circuit and power failure.,Electric Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Electric poles damaged due to storm.,Electric Department
"Road full of potholes, needs immediate repair.",Road Department
Building under construction without safety barricades.,Building Department
transformer burst causing short circuit and power failure.,Electric Department
"No garbage issue today, area looks clean.",Sanitation Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
There is a power outage in our area since morning.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
wires hanging dangerously near the electric pole.,Electric Department
"No garbage issue today, area looks clean.",Sanitation Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
The road near the hospital has large potholes.,Road Department
Building under construction without safety barricades.,Building Department
"plaster peeling from walls, building looks unsafe.",Building Department
Potholes filled with water causing vehicle skidding.,Road Department
Potholes filled with water causing vehicle skidding.,Road Department
Foul smell coming from underground sewerage system.,Sewerage Department
"No electricity since last night, transformer seems burnt.",Electric Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Plaster peeling from walls, building looks unsafe.",Building Department
the roof of the building is leaking during rainfall.,Building Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Blocked  sewer  line  needs  urgent  cleaning.,Sewerage Department
Holes on road making it dangerous for vehicles.,Road Department
Potholes  on  main  road  causing  accidents  during  rain.,Road Department
"Garbage not collected regularly, causing bad smell. please resolve this issue soon.",Sanitation Department
Street lights are not working in our colony.,Electric Department
Drainage water stagnating and breeding mosquitoes. please resolve this issue soon.,Sanitation Department
Water supply working fine with good pressure.,Water Supply Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
road damaged badly due to heavy traffic and rain.,Road Department
Wires hanging dangerously near the electric pole.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Tap water supply irregular since last week.,Water Supply Department
"Building wall broken after storm, debris blocking entrance. please resolve this issue soon.",Building Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Road condition is good after repair.,Road Department
Damaged footpath blocking safe walking area.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
Damaged  footpath  blocking  safe  walking  area. please resolve this issue soon.,Road Department
"road full of potholes, needs immediate repair.",Road Department
Building under construction without safety barricades.,Building Department
Holes on road making it dangerous for vehicles.,Road Department
road repair work incomplete for several weeks.,Road Department
The road near the hospital has large potholes.,Road Department
Road damaged badly due to heavy traffic and rain.,Road Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
Potholes on main road causing accidents during rain.,Road Department
There  is  a  power  outage  in  our  area  since  morning.,Electric Department
"No garbage issue today, area looks clean.",Sanitation Department
Foul  smell  coming  from  underground  sewerage  system. please resolve this issue soon.,Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
"water pressure too low, unable to fill tank.",Water Supply Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Damaged footpath blocking safe walking area.,Road Department
Drainage line blocked with plastic and debris.,Sanitation Department
"street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Building structure fine, no cracks visible.",Building Department
New house construction encroaching on public property.,Building Department
Road damaged badly due to heavy traffic and rain.,Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
New house construction encroaching on public property.,Building Department
Transformer burst causing short circuit and power failure. please resolve this issue soon.,Electric Department
the ceiling in our apartment is about to collapse.,Building Department
water supply disrupted due to pump malfunction.,Water Supply Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Sewer  pipeline  damaged  causing  leakages.,Sewerage Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
sewage leaking from pipeline near footpath.,Sewerage Department
Low water pressure in our area since yesterday. please resolve this issue soon.,Water Supply Department
Potholes  on  main  road  causing  accidents  during  rain.,Road Department
Street lights are not working in our colony.,Electric Department
Tap water supply irregular since last week.,Water Supply Department
The roof of the building is leaking during rainfall.,Building Department
current fluctuation damaging home appliances.,Electric Department
water supply disrupted due to pump malfunction.,Water Supply Department
no water supply in the colony since morning.,Water Supply Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Drainage line blocked with plastic and debris.,Sanitation Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
"open manhole near park, dangerous for children.",Sewerage Department
No water supply in the colony since morning.,Water Supply Department
Transformer  burst  causing  short  circuit  and  power  failure.,Electric Department
"Water  pressure  too  low,  unable  to  fill  tank.",Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
"Water pressure too low, unable to fill tank. please resolve this issue soon.",Water Supply Department
Sewer pipeline damaged causing leakages.,Sewerage Department
Water supply working fine with good pressure.,Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Electric poles damaged due to storm.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Tap water supply irregular since last week.,Water Supply Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"No electricity since last night, transformer seems burnt.",Electric Department
Street lights are not working in our colony.,Electric Department
low water pressure in our area since yesterday.,Water Supply Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
cracks have appeared on the wall of the community building.,Building Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"drainage system clogged, water overflowing onto road.",Sanitation Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Building  wall  broken  after  storm,  debris  blocking  entrance.",Building Department
Manhole overflowing with sewage water on street.,Sewerage Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
the road near the hospital has large potholes. please resolve this issue soon.,Road Department
Street lights are not working in our colony.,Electric Department
Cracks have appeared on the wall of the community building.,Building Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Old  flat  wall  plaster  has  fallen  off,  unsafe  for  residents. please resolve this issue soon.",Building Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
"no electricity since last night, transformer seems burnt.",Electric Department
The drainage is overflowing due to heavy rain. please resolve this issue soon.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Building structure showing deep cracks after heavy rain.,Building Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
"street cleaning not done for a week, garbage everywhere.",Sanitation Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
Tap water supply irregular since last week. please resolve this issue soon.,Water Supply Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"overflowing bins near market area, needs cleaning.",Sanitation Department
no water supply in the colony since morning.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
foul  smell  coming  from  underground  sewerage  system.,Sewerage Department
"Electric transformer making loud noise, possible fire risk. please resolve this issue soon.",Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Water supply disrupted due to pump malfunction.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
Foul smell coming from underground sewerage system.,Sewerage Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Potholes on main road causing accidents during rain.,Road Department
Uncollected garbage making the area unhygienic.,Sanitation Department
The roof of the building is leaking during rainfall.,Building Department
Street lights are not working in our colony.,Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Building wall broken after storm, debris blocking entrance.",Building Department
electric poles damaged due to storm. please resolve this issue soon.,Electric Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
Road repair work incomplete for several weeks.,Road Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
The  road  near  the  hospital  has  large  potholes.,Road Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Cracks have appeared on the wall of the community building.,Building Department
No water in tank even after scheduled supply time.,Water Supply Department
blocked sewer line needs urgent cleaning.,Sewerage Department
"old flat wall plaster has fallen off, unsafe for residents.",Building Department
Newly built road already showing cracks and uneven surface.,Road Department
The road near the hospital has large potholes. please resolve this issue soon.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
Current fluctuation damaging home appliances.,Electric Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Electric  poles  damaged  due  to  storm.,Electric Department
"House foundation damaged, wall tilting slightly.",Building Department
Transformer  burst  causing  short  circuit  and  power  failure.,Electric Department
The road near the hospital has large potholes.,Road Department
Electric wires snapped and lying on the road.,Electric Department
"garbage not collected regularly, causing bad smell.",Sanitation Department
"overflowing bins near market area, needs cleaning.",Sanitation Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Low water pressure in our area since yesterday.,Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
Potholes on main road causing accidents during rain.,Road Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
The drainage is overflowing due to heavy rain. please resolve this issue soon.,Sanitation Department
"house foundation damaged, wall tilting slightly.",Building Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Low water pressure in our area since yesterday.,Water Supply Department
"Open  manhole  near  park,  dangerous  for  children.",Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
Power supply interrupted due to damaged electric pole. please resolve this issue soon.,Electric Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Low water pressure in our area since yesterday.,Water Supply Department
Current fluctuation damaging home appliances.,Electric Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Low water pressure in our area since yesterday.,Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
"No  electricity  since  last  night,  transformer  seems  burnt.",Electric Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Water  pipeline  burst  near  main  road  causing  wastage.,Water Supply Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
The ceiling in our apartment is about to collapse.,Building Department
No water in tank even after scheduled supply time.,Water Supply Department
"Building wall broken after storm, debris blocking entrance. please resolve this issue soon.",Building Department
"Drinking water contaminated, smells bad.",Water Supply Department
potholes on main road causing accidents during rain. please resolve this issue soon.,Road Department
Transformer burst causing short circuit and power failure.,Electric Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
The road near the hospital has large potholes.,Road Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
The road near the hospital has large potholes.,Road Department
the ceiling in our apartment is about to collapse.,Building Department
Building under construction without safety barricades.,Building Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
potholes on main road causing accidents during rain.,Road Department
The roof of the building is leaking during rainfall.,Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Electric  wires  snapped  and  lying  on  the  road.,Electric Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
The  ceiling  in  our  apartment  is  about  to  collapse.,Building Department
"Plaster peeling from walls, building looks unsafe.",Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
The roof of the building is leaking during rainfall.,Building Department
New house construction encroaching on public property.,Building Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Transformer burst causing short circuit and power failure.,Electric Department
Manhole overflowing with sewage water on street.,Sewerage Department
Sewer pipeline damaged causing leakages.,Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
New house construction encroaching on public property. please resolve this issue soon.,Building Department
"Road full of potholes, needs immediate repair.",Road Department
Tap water supply irregular since last week.,Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
The roof of the building is leaking during rainfall.,Building Department
Water supply working fine with good pressure.,Water Supply Department
The  road  near  the  hospital  has  large  potholes.,Road Department
The ceiling in our apartment is about to collapse.,Building Department
Low water pressure in our area since yesterday.,Water Supply Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
The road near the hospital has large potholes.,Road Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Water  coming  muddy  and  not  suitable  for  drinking.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
Sewage leaking from pipeline near footpath. please resolve this issue soon.,Sewerage Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
The roof of the building is leaking during rainfall.,Building Department
waste dumped openly on roadside attracting animals.,Sanitation Department
Water supply working fine with good pressure.,Water Supply Department
Pipeline leakage near valve leading to water loss. please resolve this issue soon.,Water Supply Department
Power supply interrupted due to damaged electric pole.,Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Low water pressure in our area since yesterday.,Water Supply Department
Potholes  filled  with  water  causing  vehicle  skidding.,Road Department
No water in tank even after scheduled supply time.,Water Supply Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Road full of potholes, needs immediate repair.",Road Department
Holes on road making it dangerous for vehicles.,Road Department
Potholes on main road causing accidents during rain.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
Uncollected garbage making the area unhygienic.,Sanitation Department
the roof of the building is leaking during rainfall.,Building Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"No garbage issue today, area looks clean.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Plaster peeling from walls, building looks unsafe.",Building Department
"house foundation damaged, wall tilting slightly.",Building Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"No power cut in our area, transformer stable.",Electric Department
"Road full of potholes, needs immediate repair.",Road Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
Electric wires snapped and lying on the road.,Electric Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
"House foundation damaged, wall tilting slightly.",Building Department
Street lights are not working in our colony.,Electric Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Sewer pipeline damaged causing leakages. please resolve this issue soon.,Sewerage Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
There is a power outage in our area since morning.,Electric Department
New house construction encroaching on public property.,Building Department
"No electricity since last night, transformer seems burnt.",Electric Department
Wires  hanging  dangerously  near  the  electric  pole.,Electric Department
Uncollected garbage making the area unhygienic. please resolve this issue soon.,Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
there is a power outage in our area since morning.,Electric Department
Current fluctuation damaging home appliances. please resolve this issue soon.,Electric Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
Water coming muddy and not suitable for drinking.,Water Supply Department
The road near the hospital has large potholes.,Road Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Drainage  system  clogged,  water  overflowing  onto  road.",Sanitation Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Manhole overflowing with sewage water on street.,Sewerage Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Sewage backflow inside homes during rainfall.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Drainage line blocked with plastic and debris.,Sanitation Department
Building  under  construction  without  safety  barricades.,Building Department
Electric poles damaged due to storm. please resolve this issue soon.,Electric Department
Electric wires snapped and lying on the road. please resolve this issue soon.,Electric Department
Water  pipeline  burst  near  main  road  causing  wastage.,Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
"no electricity since last night, transformer seems burnt.",Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"building wall broken after storm, debris blocking entrance.",Building Department
"electric transformer making loud noise, possible fire risk.",Electric Department
pipeline  leakage  near  valve  leading  to  water  loss.,Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Waste dumped openly on roadside attracting animals. please resolve this issue soon.,Sanitation Department
Damaged footpath blocking safe walking area. please resolve this issue soon.,Road Department
"Open manhole near park, dangerous for children.",Sewerage Department
Current fluctuation damaging home appliances. please resolve this issue soon.,Electric Department
Tap water supply irregular since last week.,Water Supply Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"No power cut in our area, transformer stable.",Electric Department
"Open manhole near park, dangerous for children.",Sewerage Department
Electric  wires  snapped  and  lying  on  the  road.,Electric Department
Current fluctuation damaging home appliances.,Electric Department
Cracks have appeared on the wall of the community building.,Building Department
"Drinking water contaminated, smells bad.",Water Supply Department
"House foundation damaged, wall tilting slightly.",Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
building under construction without safety barricades.,Building Department
"Drinking water contaminated, smells bad.",Water Supply Department
potholes on main road causing accidents during rain.,Road Department
"Open manhole near park, dangerous for children.",Sewerage Department
"Road full of potholes, needs immediate repair. please resolve this issue soon.",Road Department
Road repair work incomplete for several weeks.,Road Department
drainage line blocked with plastic and debris.,Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
drainage line blocked with plastic and debris.,Sanitation Department
The road near the hospital has large potholes.,Road Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"open manhole near park, dangerous for children.",Sewerage Department
Road repair work incomplete for several weeks.,Road Department
The drainage is overflowing due to heavy rain. please resolve this issue soon.,Sanitation Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Foul smell coming from underground sewerage system.,Sewerage Department
Foul smell coming from underground sewerage system.,Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Potholes filled with water causing vehicle skidding.,Road Department
Water pipeline burst near main road causing wastage. please resolve this issue soon.,Water Supply Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Road damaged badly due to heavy traffic and rain.,Road Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Power supply interrupted due to damaged electric pole.,Electric Department
"No electricity since last night, transformer seems burnt.",Electric Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Building structure showing deep cracks after heavy rain.,Building Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"drainage system clogged, water overflowing onto road.",Sanitation Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Building structure showing deep cracks after heavy rain. please resolve this issue soon.,Building Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Blocked  sewer  line  needs  urgent  cleaning.,Sewerage Department
Building structure showing deep cracks after heavy rain.,Building Department
The road near the hospital has large potholes.,Road Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Foul  smell  coming  from  underground  sewerage  system.,Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
Tap water supply irregular since last week.,Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
water pipeline burst near main road causing wastage. please resolve this issue soon.,Water Supply Department
There is a power outage in our area since morning.,Electric Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Sewage leaking from pipeline near footpath.,Sewerage Department
The road near the hospital has large potholes.,Road Department
The ceiling in our apartment is about to collapse.,Building Department
The road near the hospital has large potholes.,Road Department
Water  supply  disrupted  due  to  pump  malfunction.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Road  damaged  badly  due  to  heavy  traffic  and  rain.,Road Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Electric  wires  snapped  and  lying  on  the  road.,Electric Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
"sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
Road damaged badly due to heavy traffic and rain.,Road Department
Holes on road making it dangerous for vehicles.,Road Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
sewer line overflowing and spreading dirty water.,Sewerage Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"no electricity since last night, transformer seems burnt.",Electric Department
Road repair work incomplete for several weeks.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
drainage line blocked with plastic and debris.,Sanitation Department
Water  coming  muddy  and  not  suitable  for  drinking.,Water Supply Department
There is a power outage in our area since morning.,Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
low water pressure in our area since yesterday.,Water Supply Department
"Building wall broken after storm, debris blocking entrance.",Building Department
The garbage truck hasn’t come for three days.,Sanitation Department
"No electricity since last night, transformer seems burnt.",Electric Department
Road damaged badly due to heavy traffic and rain.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Building wall broken after storm, debris blocking entrance. please resolve this issue soon.",Building Department
Road condition is good after repair.,Road Department
Manhole overflowing with sewage water on street.,Sewerage Department
Potholes filled with water causing vehicle skidding.,Road Department
The garbage truck hasn’t come for three days.,Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
"underground sewage clogged, foul smell spreading. please resolve this issue soon.",Sewerage Department
Water pipeline burst near main road causing wastage.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Newly built road already showing cracks and uneven surface.,Road Department
"No  electricity  since  last  night,  transformer  seems  burnt.",Electric Department
the roof of the building is leaking during rainfall.,Building Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
"water pressure too low, unable to fill tank.",Water Supply Department
"House  foundation  damaged,  wall  tilting  slightly.",Building Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
current fluctuation damaging home appliances.,Electric Department
New house construction encroaching on public property.,Building Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Power supply interrupted due to damaged electric pole.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
Manhole overflowing with sewage water on street.,Sewerage Department
The road near the hospital has large potholes. please resolve this issue soon.,Road Department
Building under construction without safety barricades.,Building Department
"Sewerage water mixing with rainwater, causing pollution. please resolve this issue soon.",Sewerage Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Street lights are not working in our colony.,Electric Department
No water supply in the colony since morning.,Water Supply Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Holes on road making it dangerous for vehicles.,Road Department
Transformer burst causing short circuit and power failure.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
the roof of the building is leaking during rainfall.,Building Department
"No electricity since last night, transformer seems burnt.",Electric Department
building  structure  showing  deep  cracks  after  heavy  rain.,Building Department
Electric poles damaged due to storm. please resolve this issue soon.,Electric Department
New house construction encroaching on public property.,Building Department
Road damaged badly due to heavy traffic and rain.,Road Department
Manhole overflowing with sewage water on street.,Sewerage Department
Holes on road making it dangerous for vehicles.,Road Department
Tap water supply irregular since last week.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Building under construction without safety barricades.,Building Department
"No electricity since last night, transformer seems burnt. please resolve this issue soon.",Electric Department
Potholes  on  main  road  causing  accidents  during  rain.,Road Department
Road repair work incomplete for several weeks.,Road Department
Power supply interrupted due to damaged electric pole.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Electric poles damaged due to storm.,Electric Department
Uncollected garbage making the area unhygienic. please resolve this issue soon.,Sanitation Department
Sewage leaking from pipeline near footpath.,Sewerage Department
No water supply in the colony since morning. please resolve this issue soon.,Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
